Primary Capability,Sub-Capability,Definition,Key Components,Technologies,BNZ Status,Priority,Maturity-Basic,Maturity-Intermediate,Maturity-Advanced,Maturity-Optimized,Success Metrics
SaaS AI Discovery & Evaluation,Feature Discovery & Cataloging,Continuously scan and catalog AI features released by SaaS vendors,Feature Scanning | Capability Mapping | Feature Catalog | Vendor Announcements,Vendor API integrations | Release note monitoring | Feature catalog platforms | Integration with BNZ capability model,Gap,High,Manual tracking of vendor announcements,Automated catalog with quarterly updates,Real-time feature discovery with impact assessment,Predictive feature value scoring and auto-prioritization,Number of features cataloged | Time from vendor release to internal evaluation (days) | Feature-to-capability coverage (%) | Discovery automation rate (%)
SaaS AI Discovery & Evaluation,Business Value Assessment,Rapidly assess business value and strategic alignment of discovered embedded AI features,Value Scoring Framework | Use Case Identification | Stakeholder Input | Strategic Alignment | Competitive Analysis,Value assessment frameworks | Stakeholder collaboration tools | Business case templates | Competitive intelligence platforms,Gap,High,Ad-hoc business case development,Standardized value assessment framework,Rapid value scoring with stakeholder engagement,AI-assisted value prediction and prioritization,Average assessment cycle time (days) | % of features with documented business case | Value realization accuracy (actual vs projected) | Stakeholder engagement rate (%)
SaaS AI Discovery & Evaluation,Technical Feasibility Analysis,Assess technical viability of integrating and deploying embedded AI features within BNZ's technology landscape,Integration Complexity | Data Readiness | Security Assessment | Performance Requirements | Dependency Mapping,Integration assessment tools | API documentation analysis | Security scanning platforms | Architecture modeling tools,Gap,High,Manual technical review by architecture team,Standardized technical assessment checklist,Automated feasibility analysis with risk scoring,Predictive integration complexity modeling,Technical assessment cycle time (days) | Integration success rate (%) | Post-deployment issue rate (#) | Architecture standard compliance (%)
SaaS AI Discovery & Evaluation,ROI & Cost-Benefit Analysis,Calculate expected return on investment and conduct comprehensive cost-benefit analysis for embedded AI features,Cost Modeling | Benefit Quantification | ROI Calculation | Risk-Adjusted Returns | Comparison to Build,Financial modeling tools | ROI calculators | Benchmarking databases | Portfolio management platforms,Gap,High,High-level cost estimates and benefit assumptions,Detailed financial models with sensitivity analysis,Risk-adjusted ROI with probabilistic modeling,Real-time ROI tracking with continuous validation,Average ROI (%) | Payback period (months) | Build vs buy time advantage (%) | ROI forecast accuracy (%)
Vendor Enablement & Onboarding,Accelerated Vendor Assessment (Risk-Tiered),Conduct risk-based vendor assessments using tiered approaches that match assessment depth to risk level and business criticality,Risk Tiering | Streamlined Questionnaires | Vendor Profiles | Fast-Track Process | Third-Party Assessments,Vendor risk management platforms | Assessment automation tools | Third-party certification registries | Risk scoring engines,Partial,High,Full assessment for all vendors (3-6 months),Risk-tiered assessment with fast-track (6-8 weeks),Pre-approved vendor profiles with incremental reviews (2-4 weeks),Automated risk scoring with continuous monitoring (1-2 weeks),Average vendor onboarding time by tier (days) | % of vendors using fast-track process | Assessment reuse rate (%) | Vendor approval success rate (%)
Vendor Enablement & Onboarding,Material Service Provider Classification (APRA CPS 230),Classify SaaS AI vendors as material service providers under APRA CPS 230 when supporting critical operations,Materiality Criteria | Critical Operations Mapping | Enhanced Due Diligence | APRA Notification | Board Reporting | Exit Planning,GRC platforms with CPS 230 templates | Critical operations mapping tools | Vendor register systems | Board reporting dashboards,Gap,High,Manual materiality assessment and reactive classification,Documented criteria with consistent application,Automated materiality scoring with proactive monitoring,Predictive materiality analysis and dynamic classification,% of vendors with materiality assessment | Material provider register completeness (%) | APRA notification timeliness (%) | Exit plan coverage (%)
Vendor Enablement & Onboarding,Contractual Enablement & SLAs,Streamline contract negotiations and establish appropriate service level agreements that enable rapid deployment while protecting BNZ interests,Pre-Negotiated Terms | AI-Specific Clauses | SLA Definition | Data Protection | Liability & Indemnification | Exit Provisions,Contract lifecycle management systems | Template libraries | SLA monitoring platforms | Legal review automation,Partial,High,Bespoke contract negotiation (3-6 months),Template-based with standard terms (6-8 weeks),Pre-approved vendor agreements with addendums (2-4 weeks),Click-through for pre-approved vendors (days),Average contract cycle time (days) | % of contracts using standard terms | SLA achievement rate (%) | Contract dispute rate (%)
Vendor Enablement & Onboarding,Technical Integration Readiness,Prepare technical infrastructure and integration patterns to enable rapid deployment of embedded AI features,Integration Patterns Library | Sandbox Environments | API Management | Data Pipelines | Identity Integration | Monitoring Instrumentation,API gateways (Apigee Kong) | Integration platforms (MuleSoft Dell Boomi) | Identity providers (Azure AD Okta) | Observability platforms (Datadog Splunk) | Sandbox/development environments,Partial,High,Custom integration per vendor (8-12 weeks),Reusable integration patterns (4-6 weeks),Self-service integration platform (1-2 weeks),Auto-provisioning with API-driven configuration (days),Average integration time (days) | Integration pattern reuse rate (%) | Integration failure rate (%) | Time to first API call (hours)
Feature Activation & Deployment,Rapid Pilot & Sandbox Environments,Provision isolated environments for rapid experimentation and pilot programs before full production deployment,Instant Provisioning | Pre-Production Environments | Test Data Management | Pilot User Groups | Evaluation Frameworks | Fail-Fast Mechanisms,Cloud provisioning automation | Test data management tools | User feedback platforms | Pilot program management tools,Partial,High,Shared development environment (2-4 weeks setup),Dedicated pilot environment (1 week setup),Self-service sandbox provisioning (hours),Instant ephemeral environments with auto-teardown (minutes),Sandbox provision time (hours) | Number of active pilots | Pilot success rate (%) | Time from pilot start to decision (weeks)
Feature Activation & Deployment,Feature Configuration & Customization,Configure and customize embedded AI features to align with BNZ processes branding and business rules,Configuration Management | Customization Options | Business Rules | Prompt Engineering | Model Fine-Tuning | Feature Flagging,Configuration management tools | Feature flag platforms (LaunchDarkly) | Prompt management systems | Model customization platforms,Gap,High,Manual configuration with vendor support,Documented configuration patterns and playbooks,Self-service configuration with templates,AI-assisted configuration recommendations,Configuration time (days) | Customization depth (%) | Business rule compliance (%) | Prompt effectiveness score
Feature Activation & Deployment,Enterprise Integration & SSO,Integrate embedded AI features with BNZ's enterprise systems identity management and security infrastructure,Single Sign-On | API Integration | Data Synchronization | Security Controls | Network Integration | Audit Logging,Identity providers (Azure AD Okta) | API management platforms | Data integration tools | SIEM systems | Network security tools,Partial,High,Manual integration with basic SSO (4-6 weeks),Standardized integration patterns (2-3 weeks),Self-service integration with pre-built connectors (1 week),Automatic integration via API discovery (days),SSO setup time (days) | Integration reliability (%) | Security incident rate (#) | Audit log completeness (%)
Feature Activation & Deployment,Staged Rollout Management,Execute controlled staged rollouts of embedded AI features to minimize risk and ensure smooth adoption,Rollout Strategy | Phased Deployment | Blue-Green Deployment | Canary Releases | Feature Gates | Rollback Plans,Feature management platforms | Deployment automation tools | User segmentation systems | Monitoring and alerting platforms,Partial,High,Big-bang deployment with basic rollback,Phased rollout with defined stages,Automated staged rollout with dynamic gating,AI-driven rollout optimization and auto-rollback,Rollout duration (days) | Incident rate during rollout (#) | Rollback frequency (#) | User satisfaction by rollout phase
Feature Activation & Deployment,User Adoption & Training,Drive user adoption through targeted training support and change management to maximize value realization,Training Programs | Self-Service Resources | Champions Network | Support Channels | Adoption Metrics | Feedback Loops,Learning management systems | Knowledge base platforms | Support ticketing systems | Adoption analytics tools | User feedback platforms,Partial,High,Ad-hoc training and documentation,Structured training programs with resources,Multi-channel support with adoption tracking,Personalized learning paths with AI-driven recommendations,User adoption rate (%) | Training completion rate (%) | Support ticket volume (#) | User satisfaction score
Value Realization & Optimization,Usage Analytics & Insights,Capture and analyze usage patterns adoption metrics and user behavior to understand how embedded AI features are being used,Usage Tracking | User Behavior Analysis | Adoption Dashboards | Cohort Analysis | Feature Analytics | Anomaly Detection,Analytics platforms (Google Analytics Mixpanel) | BI tools (Power BI Tableau) | User behavior analytics | Product analytics platforms,Gap,High,Basic usage reports from vendor dashboards,Centralized analytics with custom reports,Real-time dashboards with predictive analytics,AI-driven insights and automated recommendations,Daily/monthly active users | Feature adoption rate (%) | User engagement score | Usage trend analysis
Value Realization & Optimization,ROI Measurement & Tracking,Measure actual return on investment and track against projected benefits to validate business cases and inform future decisions,Value Tracking | Cost Monitoring | ROI Calculation | Value Attribution | Benefit Realization | Portfolio ROI,Financial tracking systems | ROI calculators | Benefit tracking platforms | Portfolio management tools,Gap,High,Annual ROI assessments with manual data collection,Quarterly automated ROI reporting,Real-time ROI dashboards with drill-down analysis,Predictive ROI modeling with optimization recommendations,Actual vs projected ROI (%) | Payback period actual vs projected | Total cost of ownership | Value per user ($)
Value Realization & Optimization,Performance Optimization,Continuously optimize embedded AI feature performance including response times accuracy and business outcomes,Performance Monitoring | Quality Metrics | A/B Testing | Prompt Optimization | Configuration Tuning | Capacity Planning,APM tools (Datadog New Relic) | A/B testing platforms | Quality monitoring tools | Capacity planning tools,Gap,High,Reactive performance troubleshooting,Proactive monitoring with alerts,Continuous optimization with A/B testing,AI-driven performance tuning and auto-scaling,Response time (ms) | AI output quality score | User satisfaction with performance | Cost per transaction
Value Realization & Optimization,Feature Evolution & Roadmap Alignment,Track vendor feature roadmaps and ensure BNZ extracts maximum value from new capabilities as they become available,Roadmap Tracking | Early Access Programs | Feature Gap Analysis | Upgrade Planning | Retirement Planning | Innovation Harvesting,Vendor roadmap portals | Product management tools | Feature tracking systems | Innovation management platforms,Gap,Medium,React to vendor announcements,Track roadmaps with proactive planning,Influence vendor roadmaps through strategic partnership,Predictive feature planning aligned to business strategy,New feature adoption rate (%) | Time from feature release to adoption (days) | Feature utilization rate (%) | Innovation capture rate (%)
Value Realization & Optimization,Business Case Validation,Validate original business cases against actual outcomes to improve future investment decisions and build credibility,Benefit Validation | Assumption Testing | Lessons Learned | Case Study Development | Stakeholder Reporting | Portfolio Optimization,Benefits realization platforms | Case study tools | Stakeholder reporting dashboards | Portfolio analytics,Gap,Medium,No systematic validation,Annual validation with lessons learned,Quarterly validation with portfolio optimization,Continuous validation with real-time adjustments,% of business cases validated | Benefits realization rate (%) | Forecast accuracy improvement (%) | Investment reallocation based on validation
Operational Oversight (Light-Touch),Vendor Performance Monitoring,Track vendor performance against SLAs and contractual commitments with focus on material service providers,SLA Tracking | Incident Management | Escalation Protocols | Performance Dashboards | Material Provider Focus | Vendor Scorecards,Vendor management platforms | SLA monitoring tools | Incident tracking systems | Performance analytics dashboards,Partial,High,Manual SLA tracking with quarterly reviews,Automated SLA monitoring with alerts,Real-time dashboards with predictive alerting,AI-driven vendor health prediction and auto-remediation,SLA compliance rate (%) | Mean time to resolution (hours) | Vendor performance score | Material provider oversight coverage (%)
Operational Oversight (Light-Touch),Change Impact Assessment,Assess and manage the impact of vendor updates configuration changes and new feature rollouts with risk-based approaches,Change Notification | Impact Analysis | Testing Requirements | Change Windows | Rollback Readiness | Communication,Change management systems | Impact analysis tools | Testing frameworks | Communication platforms,Partial,Medium,Manual change review with ad-hoc testing,Standardized impact assessment with risk-based testing,Automated impact analysis with integrated testing,Predictive impact modeling with auto-classification,Change assessment completion rate (%) | Change-related incident rate (#) | Average assessment cycle time (days) | Rollback frequency (#)
Operational Oversight (Light-Touch),Compliance Spot Checks,Conduct periodic spot checks to ensure ongoing compliance with policies standards and regulatory requirements,Risk-Based Sampling | Automated Compliance Checks | Exception Management | Audit Evidence | Remediation Tracking | Trend Analysis,GRC platforms | Compliance automation tools | Audit management systems | Policy management platforms,Partial,Medium,Annual manual audits,Quarterly spot checks with documentation,Continuous automated compliance monitoring,Predictive compliance risk identification,Spot check coverage (%) | Compliance finding rate (#) | Remediation time (days) | Audit readiness score
Operational Oversight (Light-Touch),Incident Coordination,Coordinate response to incidents involving embedded AI features working with vendors and internal teams to restore service and prevent recurrence,Incident Classification | Vendor Coordination | Communication Plans | Root Cause Analysis | Lessons Learned | Regulatory Notification,Incident management platforms | Communication tools | Root cause analysis tools | Regulatory reporting systems,Partial,High,Reactive incident response with manual coordination,Structured incident response with playbooks,Automated incident detection and orchestration,Predictive incident prevention with auto-mitigation,Mean time to detect (minutes) | Mean time to resolve (hours) | Incident recurrence rate (%) | Post-incident review completion rate (%)
Data & Privacy Enablement,Data Access Provisioning,Rapidly provision appropriate data access for embedded AI features with proper security controls and audit trails,Access Request Process | Least Privilege | Data Classification | Access Reviews | API Gateway | Audit Logging,Identity and access management (IAM) | API gateways | Data classification tools | Audit logging systems,Partial,High,Manual access provisioning (weeks),Self-service access with approval workflows (days),Automated access provisioning with policy-based controls (hours),Dynamic access with real-time risk assessment (minutes),Access provisioning time (hours) | Access review completion rate (%) | Unauthorized access attempts (#) | Audit log completeness (%)
Data & Privacy Enablement,Privacy Impact Assessment (Streamlined),Conduct right-sized privacy impact assessments for embedded AI features focusing on high-risk scenarios,Risk-Based Thresholds | PIA Templates | Fast-Track Process | Privacy by Design | Cross-Border Assessment | Privacy Register,Privacy management platforms | PIA workflow tools | Data mapping tools | Privacy register systems,Gap,High,Full PIA for all features (4-6 weeks),Risk-tiered PIA with templates (1-2 weeks),Automated PIA with fast-track for low-risk (days),AI-assisted PIA with dynamic risk assessment (hours),PIA completion time (days) | % of features with PIA coverage | Privacy incident rate (#) | Fast-track utilization rate (%)
Data & Privacy Enablement,Cross-Border Data Handling,Enable safe cross-border data flows for global SaaS platforms while meeting NZ Privacy Act and other jurisdictional requirements,Data Residency Mapping | Transfer Mechanisms | Localization Requirements | Vendor Commitments | Transparency | Alternative Architectures,Data flow mapping tools | Contract management systems | Privacy compliance platforms | Multi-region deployment tools,Gap,High,Ad-hoc assessment of cross-border flows,Documented data flow maps with transfer safeguards,Automated data flow discovery with compliance validation,Dynamic data routing based on regulatory requirements,Data flow map completeness (%) | Cross-border transfer compliance rate (%) | Data localization coverage (%) | Privacy complaint rate (#)
Data & Privacy Enablement,Data Quality for AI (IPP 8 Alignment),Ensure data used by embedded AI meets accuracy and quality requirements particularly for automated decisions under NZ Privacy Act IPP 8,Accuracy Standards | Quality Monitoring | Data Correction | Source Validation | Automated Decision Flagging | Quality Dashboards,Data quality platforms | Data observability tools | Master data management | Quality monitoring dashboards,Partial,High,Manual data quality checks,Automated quality monitoring with alerts,Continuous quality monitoring with auto-correction,Predictive quality management with ML-driven validation,Data accuracy rate (%) | Quality incident rate (#) | Automated decision accuracy (%) | Data correction cycle time (hours)
Portfolio & Ecosystem Management,Portfolio Visibility & Governance,Maintain comprehensive visibility into all embedded AI features and investments across the organization,AI Feature Registry | Investment Tracking | Usage Analytics | Value Dashboard | Risk Dashboard | Capability Coverage,Portfolio management platforms | BI and analytics tools | Asset management systems | Dashboard platforms,Gap,High,Spreadsheet tracking with manual updates,Centralized registry with quarterly reviews,Real-time portfolio dashboard with analytics,AI-driven portfolio optimization recommendations,Registry completeness (%) | Portfolio ROI (%) | Vendor consolidation ratio | Feature overlap rate (%)
Portfolio & Ecosystem Management,Strategic Vendor Relationships,Build strategic partnerships with key SaaS vendors to influence roadmaps gain early access and optimize commercial terms,Vendor Segmentation | Partnership Programs | Roadmap Influence | Executive Relationships | Commercial Optimization | Co-Innovation,CRM systems for vendor relationships | Collaboration platforms | Contract management systems | Innovation management tools,Partial,Medium,Transactional vendor relationships,Strategic relationships with top 3 vendors,Portfolio-wide partnerships with co-innovation,Industry-leading vendor partnerships with unique capabilities,# of strategic vendor partnerships | Early access program participation rate (%) | Cost savings from portfolio agreements (%) | Co-innovation projects (#)
Portfolio & Ecosystem Management,Integration & Interoperability Patterns,Establish standard patterns for integrating embedded AI features and ensuring interoperability across the ecosystem,Integration Catalog | API Standards | Data Exchange Patterns | Authentication Standards | Monitoring Standards | Cross-Platform Workflows,Integration platforms (MuleSoft Dell Boomi) | API management | Workflow orchestration tools | Pattern libraries,Partial,Medium,Custom integration per feature,Documented integration patterns with reuse,Self-service integration with pattern library,Automated integration with AI-driven pattern recommendation,Integration pattern reuse rate (%) | Integration time reduction (%) | Cross-platform workflow count (#) | Interoperability score
Portfolio & Ecosystem Management,Ecosystem Rationalization,Periodically review and rationalize the embedded AI portfolio eliminating redundancy and optimizing the vendor ecosystem,Capability Overlap Analysis | Consolidation Opportunities | Exit Planning | Migration Management | Cost Optimization | Strategic Alignment,Portfolio analytics platforms | Cost optimization tools | Migration planning tools | Decision support systems,Gap,Medium,Organic growth with no rationalization,Annual portfolio review with ad-hoc consolidation,Continuous rationalization with active management,AI-driven portfolio optimization with automated recommendations,Vendor count trend | Feature redundancy reduction (%) | Cost savings from consolidation ($) | Portfolio efficiency score
